catalog_rank,common_name,scientific_name,kingdom,category,priority,planned_source,notes,inat_taxon_id,observations_count,iconic_taxon_name,wikipedia_url
1556,smooth Solomon's seal,Polygonatum biflorum,Plantae,plant,P1,iNaturalist species_counts,iconic_taxon=Plantae; common species by verifiable photo observations,85327,28982,Plantae,http://en.wikipedia.org/wiki/Polygonatum_biflorum
1557,Variable Dancer,Argia fumipennis,Animalia,insect,P1,iNaturalist species_counts,iconic_taxon=Insecta; common species by verifiable photo observations,94545,32313,Insecta,http://en.wikipedia.org/wiki/Variable_dancer
1558,African Savanna Elephant,Loxodonta africana,Animalia,mammal,P1,iNaturalist species_counts,iconic_taxon=Mammalia; common species by verifiable photo observations,43694,28936,Mammalia,http://en.wikipedia.org/wiki/African_bush_elephant
1559,pellitory-of-the-wall,Parietaria judaica,Plantae,plant,P1,iNaturalist species_counts,iconic_taxon=Plantae; common species by verifiable photo observations,57281,27274,Plantae,http://en.wikipedia.org/wiki/Parietaria_judaica
1560,Spotted Tussock Moth,Lophocampa maculata,Animalia,insect,P1,iNaturalist species_counts,iconic_taxon=Insecta; common species by verifiable photo observations,67691,26934,Insecta,http://en.wikipedia.org/wiki/Lophocampa_maculata
1561,western ragweed,Ambrosia psilostachya,Plantae,plant,P1,iNaturalist species_counts,iconic_taxon=Plantae; common species by verifiable photo observations,60129,26880,Plantae,http://en.wikipedia.org/wiki/Ambrosia_psilostachya
1562,Pure Green Sweat bee,Augochlora pura,Animalia,insect,P1,iNaturalist species_counts,iconic_taxon=Insecta; common species by verifiable photo observations,82523,26744,Insecta,http://en.wikipedia.org/wiki/Augochlora_pura
1563,Red-legged Grasshopper,Melanoplus femurrubrum,Animalia,insect,P1,iNaturalist species_counts,iconic_taxon=Insecta; common species by verifiable photo observations,129094,26852,Insecta,https://en.wikipedia.org/wiki/Melanoplus_femurrubrum
1564,Citrus Flatid Planthopper,Metcalfa pruinosa,Animalia,insect,P1,iNaturalist species_counts,iconic_taxon=Insecta; common species by verifiable photo observations,126209,26700,Insecta,http://en.wikipedia.org/wiki/Metcalfa_pruinosa
1565,common yew,Taxus baccata,Plantae,plant,P1,iNaturalist species_counts,iconic_taxon=Plantae; common species by verifiable photo observations,47553,41107,Plantae,https://en.wikipedia.org/wiki/Taxus_baccata
1566,hare's foot inkcap,Coprinopsis lagopus,Fungi,fungus,P1,iNaturalist species_counts,iconic_taxon=Fungi; common species by verifiable photo observations,55605,27208,Fungi,https://en.wikipedia.org/wiki/Coprinopsis_lagopus
1567,swamp rose mallow,Hibiscus moscheutos,Plantae,plant,P1,iNaturalist species_counts,iconic_taxon=Plantae; common species by verifiable photo observations,82317,30318,Plantae,http://en.wikipedia.org/wiki/Hibiscus_moscheutos
1568,Broom Forkmoss,Dicranum scoparium,Plantae,plant,P1,iNaturalist species_counts,iconic_taxon=Plantae; common species by verifiable photo observations,123134,27134,Plantae,http://en.wikipedia.org/wiki/Dicranum_scoparium
1569,Sun Fly,Helophilus pendulus,Animalia,insect,P1,iNaturalist species_counts,iconic_taxon=Insecta; common species by verifiable photo observations,52486,26805,Insecta,http://en.wikipedia.org/wiki/Helophilus_pendulus
1570,Jelly Ear,Auricularia auricula-judae,Fungi,fungus,P1,iNaturalist species_counts,iconic_taxon=Fungi; common species by verifiable photo observations,50813,26893,Fungi,http://en.wikipedia.org/wiki/Auricularia_auricula-judae
1571,Rock Squirrel,Otospermophilus variegatus,Animalia,mammal,P1,iNaturalist species_counts,iconic_taxon=Mammalia; common species by verifiable photo observations,180008,28324,Mammalia,http://en.wikipedia.org/wiki/Rock_squirrel
1572,Giant Green Anemone,Anthopleura xanthogrammica,Animalia,invertebrate,P1,iNaturalist species_counts,iconic_taxon=Animalia; common species by verifiable photo observations,51659,26984,Animalia,http://en.wikipedia.org/wiki/Anthopleura_xanthogrammica
1573,Common European Yellowjacket,Vespula vulgaris,Animalia,insect,P1,iNaturalist species_counts,iconic_taxon=Insecta; common species by verifiable photo observations,127777,27119,Insecta,http://en.wikipedia.org/wiki/Vespula_vulgaris
1574,Asarabacca,Asarum europaeum,Plantae,plant,P1,iNaturalist species_counts,iconic_taxon=Plantae; common species by verifiable photo observations,128901,27352,Plantae,http://en.wikipedia.org/wiki/Asarum_europaeum
1575,bluestem goldenrod,Solidago caesia,Plantae,plant,P1,iNaturalist species_counts,iconic_taxon=Plantae; common species by verifiable photo observations,120005,27193,Plantae,http://en.wikipedia.org/wiki/Solidago_caesia
1576,western poison ivy,Toxicodendron rydbergii,Plantae,plant,P1,iNaturalist species_counts,iconic_taxon=Plantae; common species by verifiable photo observations,58729,26910,Plantae,http://en.wikipedia.org/wiki/Toxicodendron_rydbergii
1577,Willie Wagtail,Rhipidura leucophrys,Animalia,bird,P1,iNaturalist species_counts,iconic_taxon=Aves; common species by verifiable photo observations,8143,27609,Aves,http://en.wikipedia.org/wiki/Willie_wagtail
1578,Black-tailed Godwit,Limosa limosa,Animalia,bird,P1,iNaturalist species_counts,iconic_taxon=Aves; common species by verifiable photo observations,3947,28240,Aves,http://en.wikipedia.org/wiki/Black-tailed_godwit
1579,Tawny Frogmouth,Podargus strigoides,Animalia,bird,P1,iNaturalist species_counts,iconic_taxon=Aves; common species by verifiable photo observations,19721,27691,Aves,http://en.wikipedia.org/wiki/Tawny_frogmouth
1580,Silver Wormwood,Artemisia ludoviciana,Plantae,plant,P1,iNaturalist species_counts,iconic_taxon=Plantae; common species by verifiable photo observations,71127,28221,Plantae,http://en.wikipedia.org/wiki/Artemisia_ludoviciana
1581,Willow Warbler,Phylloscopus trochilus,Animalia,bird,P1,iNaturalist species_counts,iconic_taxon=Aves; common species by verifiable photo observations,117055,32294,Aves,https://en.wikipedia.org/wiki/Willow_warbler
1582,Large-leaved Avens,Geum macrophyllum,Plantae,plant,P1,iNaturalist species_counts,iconic_taxon=Plantae; common species by verifiable photo observations,77266,27214,Plantae,http://en.wikipedia.org/wiki/Geum_macrophyllum
1583,Atlantic Horseshoe Crab,Limulus polyphemus,Animalia,invertebrate,P1,iNaturalist species_counts,iconic_taxon=Animalia; common species by verifiable photo observations,48302,27075,Animalia,https://en.wikipedia.org/wiki/Atlantic_horseshoe_crab
1584,Wall Pennywort,Umbilicus rupestris,Plantae,plant,P1,iNaturalist species_counts,iconic_taxon=Plantae; common species by verifiable photo observations,129454,26778,Plantae,http://en.wikipedia.org/wiki/Umbilicus_rupestris
1585,Small Engrailed,Ectropis crepuscularia,Animalia,insect,P1,iNaturalist species_counts,iconic_taxon=Insecta; common species by verifiable photo observations,143009,26624,Insecta,http://en.wikipedia.org/wiki/Engrailed_(moth)
1586,giant red paintbrush,Castilleja miniata,Plantae,plant,P1,iNaturalist species_counts,iconic_taxon=Plantae; common species by verifiable photo observations,76148,30188,Plantae,http://en.wikipedia.org/wiki/Castilleja_miniata
1587,White-nosed Coati,Nasua narica,Animalia,mammal,P1,iNaturalist species_counts,iconic_taxon=Mammalia; common species by verifiable photo observations,41673,28706,Mammalia,http://en.wikipedia.org/wiki/White-nosed_coati
1588,Cheatgrass,Bromus tectorum,Plantae,plant,P1,iNaturalist species_counts,iconic_taxon=Plantae; common species by verifiable photo observations,58369,26700,Plantae,http://en.wikipedia.org/wiki/Bromus_tectorum
1589,Red-banded Hairstreak,Calycopis cecrops,Animalia,insect,P1,iNaturalist species_counts,iconic_taxon=Insecta; common species by verifiable photo observations,122281,26324,Insecta,http://en.wikipedia.org/wiki/Red-banded_hairstreak
1590,Hummingbird Clearwing,Hemaris thysbe,Animalia,insect,P1,iNaturalist species_counts,iconic_taxon=Insecta; common species by verifiable photo observations,82379,26806,Insecta,http://en.wikipedia.org/wiki/Hemaris_thysbe
1591,tropical milkweed,Asclepias curassavica,Plantae,plant,P1,iNaturalist species_counts,iconic_taxon=Plantae; common species by verifiable photo observations,75602,40745,Plantae,http://en.wikipedia.org/wiki/Asclepias_curassavica
1592,Fox Sparrow,Passerella iliaca,Animalia,bird,P1,iNaturalist species_counts,iconic_taxon=Aves; common species by verifiable photo observations,9156,29787,Aves,http://en.wikipedia.org/wiki/Fox_sparrow
1593,roughleaf dogwood,Cornus drummondii,Plantae,plant,P1,iNaturalist species_counts,iconic_taxon=Plantae; common species by verifiable photo observations,54776,26883,Plantae,http://en.wikipedia.org/wiki/Cornus_drummondii
1594,Beach Morning Glory,Ipomoea pes-caprae,Plantae,plant,P1,iNaturalist species_counts,iconic_taxon=Plantae; common species by verifiable photo observations,60879,27244,Plantae,http://en.wikipedia.org/wiki/Ipomoea_pes-caprae
1595,Red Swamp Crayfish,Procambarus clarkii,Animalia,invertebrate,P1,iNaturalist species_counts,iconic_taxon=Animalia; common species by verifiable photo observations,51221,27052,Animalia,http://en.wikipedia.org/wiki/Procambarus_clarkii
1596,American Winter Ant,Prenolepis imparis,Animalia,insect,P1,iNaturalist species_counts,iconic_taxon=Insecta; common species by verifiable photo observations,68142,26241,Insecta,http://en.wikipedia.org/wiki/Prenolepis_imparis
1597,Nettle-leaved Bellflower,Campanula trachelium,Plantae,plant,P1,iNaturalist species_counts,iconic_taxon=Plantae; common species by verifiable photo observations,48588,26899,Plantae,http://en.wikipedia.org/wiki/Campanula_trachelium
1598,Pea Blue,Lampides boeticus,Animalia,insect,P1,iNaturalist species_counts,iconic_taxon=Insecta; common species by verifiable photo observations,121993,26574,Insecta,http://en.wikipedia.org/wiki/Lampides_boeticus
1599,black knapweed,Centaurea nigra,Plantae,plant,P1,iNaturalist species_counts,iconic_taxon=Plantae; common species by verifiable photo observations,126575,27037,Plantae,http://en.wikipedia.org/wiki/Centaurea_nigra
1600,dead man's fingers,Xylaria polymorpha,Fungi,fungus,P1,iNaturalist species_counts,iconic_taxon=Fungi; common species by verifiable photo observations,58698,26520,Fungi,http://en.wikipedia.org/wiki/Xylaria_polymorpha
1601,sulfur buckwheat,Eriogonum umbellatum,Plantae,plant,P1,iNaturalist species_counts,iconic_taxon=Plantae; common species by verifiable photo observations,77040,30631,Plantae,https://en.wikipedia.org/wiki/Eriogonum_umbellatum
1602,sea fig,Carpobrotus edulis,Plantae,plant,P1,iNaturalist species_counts,iconic_taxon=Plantae; common species by verifiable photo observations,49322,29333,Plantae,http://en.wikipedia.org/wiki/Carpobrotus_edulis
1603,Herb Paris,Paris quadrifolia,Plantae,plant,P1,iNaturalist species_counts,iconic_taxon=Plantae; common species by verifiable photo observations,123666,26435,Plantae,http://en.wikipedia.org/wiki/Paris_quadrifolia
1604,Tievine,Ipomoea cordatotriloba,Plantae,plant,P1,iNaturalist species_counts,iconic_taxon=Plantae; common species by verifiable photo observations,135263,26379,Plantae,http://en.wikipedia.org/wiki/Ipomoea_cordatotriloba
1605,Camphorweed,Heterotheca subaxillaris,Plantae,plant,P1,iNaturalist species_counts,iconic_taxon=Plantae; common species by verifiable photo observations,77398,26318,Plantae,http://en.wikipedia.org/wiki/Heterotheca_subaxillaris
1606,Marbled Orbweaver,Araneus marmoreus,Animalia,arachnid,P1,iNaturalist species_counts,iconic_taxon=Arachnida; common species by verifiable photo observations,120183,26581,Arachnida,http://en.wikipedia.org/wiki/Araneus_marmoreus
1607,Italian thistle,Carduus pycnocephalus,Plantae,plant,P1,iNaturalist species_counts,iconic_taxon=Plantae; common species by verifiable photo observations,52990,26854,Plantae,http://en.wikipedia.org/wiki/Carduus_pycnocephalus
1608,Eurasian Treecreeper,Certhia familiaris,Animalia,bird,P1,iNaturalist species_counts,iconic_taxon=Aves; common species by verifiable photo observations,7450,28736,Aves,http://en.wikipedia.org/wiki/Eurasian_treecreeper
1609,Autumn Hawkbit,Scorzoneroides autumnalis,Plantae,plant,P1,iNaturalist species_counts,iconic_taxon=Plantae; common species by verifiable photo observations,204167,26728,Plantae,http://en.wikipedia.org/wiki/Scorzoneroides_autumnalis
1610,Harbor Seal,Phoca vitulina,Animalia,mammal,P1,iNaturalist species_counts,iconic_taxon=Mammalia; common species by verifiable photo observations,41708,69745,Mammalia,http://en.wikipedia.org/wiki/Harbor_seal
1611,Spanish Broom,Spartium junceum,Plantae,plant,P1,iNaturalist species_counts,iconic_taxon=Plantae; common species by verifiable photo observations,47406,29116,Plantae,http://en.wikipedia.org/wiki/Spartium
1612,Magnolia Warbler,Setophaga magnolia,Animalia,bird,P1,iNaturalist species_counts,iconic_taxon=Aves; common species by verifiable photo observations,145235,28430,Aves,http://en.wikipedia.org/wiki/Magnolia_warbler
1613,Eastern Copperhead,Agkistrodon contortrix,Animalia,reptile,P1,iNaturalist species_counts,iconic_taxon=Reptilia; common species by verifiable photo observations,912622,26732,Reptilia,https://en.wikipedia.org/wiki/Agkistrodon_contortrix
1614,Elephant Hawkmoth,Deilephila elpenor,Animalia,insect,P1,iNaturalist species_counts,iconic_taxon=Insecta; common species by verifiable photo observations,55996,27148,Insecta,http://en.wikipedia.org/wiki/Deilephila_elpenor
1615,European Earwig,Forficula auricularia,Animalia,insect,P1,iNaturalist species_counts,iconic_taxon=Insecta; common species by verifiable photo observations,1470430,25875,Insecta,https://en.wikipedia.org/wiki/Forficula_auricularia
1616,Plain-bellied Watersnake,Nerodia erythrogaster,Animalia,reptile,P1,iNaturalist species_counts,iconic_taxon=Reptilia; common species by verifiable photo observations,29328,26240,Reptilia,https://en.wikipedia.org/wiki/Nerodia_erythrogaster
1617,Bonaparte's Gull,Chroicocephalus philadelphia,Animalia,bird,P1,iNaturalist species_counts,iconic_taxon=Aves; common species by verifiable photo observations,144502,26865,Aves,http://en.wikipedia.org/wiki/Bonaparte's_gull
1618,pecan,Carya illinoinensis,Plantae,plant,P1,iNaturalist species_counts,iconic_taxon=Plantae; common species by verifiable photo observations,67593,30121,Plantae,http://en.wikipedia.org/wiki/Pecan
1619,broadleaf arrowhead,Sagittaria latifolia,Plantae,plant,P1,iNaturalist species_counts,iconic_taxon=Plantae; common species by verifiable photo observations,48070,26458,Plantae,http://en.wikipedia.org/wiki/Sagittaria_latifolia
1620,alkali heliotrope,Heliotropium curassavicum,Plantae,plant,P1,iNaturalist species_counts,iconic_taxon=Plantae; common species by verifiable photo observations,58058,27176,Plantae,http://en.wikipedia.org/wiki/Heliotropium_curassavicum
1621,Narrow-leaved Ragwort,Senecio inaequidens,Plantae,plant,P1,iNaturalist species_counts,iconic_taxon=Plantae; common species by verifiable photo observations,55607,26647,Plantae,http://en.wikipedia.org/wiki/Senecio_inaequidens
1622,Golden Yarrow,Eriophyllum confertiflorum,Plantae,plant,P1,iNaturalist species_counts,iconic_taxon=Plantae; common species by verifiable photo observations,53395,30494,Plantae,http://en.wikipedia.org/wiki/Eriophyllum_confertiflorum
1623,mastic,Pistacia lentiscus,Plantae,plant,P1,iNaturalist species_counts,iconic_taxon=Plantae; common species by verifiable photo observations,82600,27219,Plantae,http://en.wikipedia.org/wiki/Pistacia_lentiscus
1624,Goldcrest,Regulus regulus,Animalia,bird,P1,iNaturalist species_counts,iconic_taxon=Aves; common species by verifiable photo observations,793469,33539,Aves,http://en.wikipedia.org/wiki/Goldcrest
1625,white vervain,Verbena urticifolia,Plantae,plant,P1,iNaturalist species_counts,iconic_taxon=Plantae; common species by verifiable photo observations,129278,26262,Plantae,http://en.wikipedia.org/wiki/Verbena_urticifolia
1626,Garland Daisy,Glebionis coronaria,Plantae,plant,P1,iNaturalist species_counts,iconic_taxon=Plantae; common species by verifiable photo observations,59904,28416,Plantae,http://en.wikipedia.org/wiki/Glebionis_coronaria
1627,White-dotted Prominent,Nadata gibbosa,Animalia,insect,P1,iNaturalist species_counts,iconic_taxon=Insecta; common species by verifiable photo observations,82204,25834,Insecta,http://en.wikipedia.org/wiki/Rough_prominent
